CTPrimary;MDPrimary
CTPrimary;PAPrimary
CTPrimary;RIPrimary
DEPrimary;MDPrimary
DEPrimary;PAPrimary
DEPrimary;RIPrimary
MDPrimary;PAPrimary
MDPrimary;RIPrimary
PAPrimary;RIPrimary
PAPrimary;VoteTrump
RIPrimary;VoteTrump
NYPrimary;GOP
NewDay;MakeAmericaGreatAgain
WIPrimary;MAGA
Wisconsin;MakeAmericaGreatAgain
Wisconsin;TrumpTrain
UtahCaucus;AmericanSamoa
UTCaucus;AmericanSamoa
LyingTed;NeverCruz
VoteTrump;AZPrimary
TrumpCountry;Utah
GOPDebate;TrumpTrain
VoteTrumpWI;WIPrimary
Prince;HillaryClinton
TBT;HillaryOnGMA
KenLangone;NeilCavuto
MakeAmericaGreatAgain;Trump2016
Trump2016;MakeAmericaGreatAgain
Trump2016;WesternTuesday
TrumpWaikiki;Mahalo
WesternTuesday;TrumpTrain
UtahCaucus;MakeAmericaGreatAgain
UtahCaucus;Trump2016
UTCaucus;MakeAmericaGreatAgain
NewYorkValues;NYPrimary
NewYorkValues;VoteTrump
NYPrimary;VoteTrump
POTUS;VoteTrumpNY
POTUS;PrimaryDay
Trump2016;PrimaryDay
VoteTrumpNY;PrimaryDay
TrumpCountry;Mormon
UTCaucus;Trump2016
TrumpCountry;UtahPrimary
AZPrimary;MakeAmericaGreatAgain
AZPrimary;Trump2016
UtahPrimary;Utah4Trump
AZ;UT
Racine;Wausau
Racine;EauClaire
Racine;Trump2016
Racine;WIPrimary
Racine;TrumpTrain
Wausau;EauClaire
Wausau;Trump2016
Wausau;WIPrimary
Wausau;TrumpTrain
EauClaire;Trump2016
TrumpCountry;Utah4Trump
ArizonaPrimary;MakeAmericaGreatAgain
ArizonaPrimary;Trump2016
Utah;Mormon
Utah;UtahPrimary
Utah;Utah4Trump
Mormon;UtahPrimary
Mormon;Utah4Trump
POTUS;Trump2016
EndCommonCore;Trump2016
SuperTuesday;VoteTrump
SuperTuesday;MakeAmericaGreatAgain
VoteTrump;Trump2016
Trump2016;TrumpTrain
KansasCaucus;MakeAmericaGreatAgain
Trump2016;VoteTrump
VoteTrump;SuperTuesday
Trump2016;SuperSaturday
KenLangone;Fox
KansasCaucus;Trump2016
TrumpTrain;MakeAmericaGreatAgain
MakeAmericaGreatAgain;trump2016
NeilCavuto;Fox
TrumpTrain;Trump2016
MakeAmericaGreatAgain;TrumpTrain
FITN;Trump2016
Trump2016;FITN
Trump2016;IAPolitics
NewYork;Jonas
NewYork;NewYorkValues
Jonas;NewYorkValues
IACaucus;IAPolitics
SuperTuesday;Trump2016
Trump2016;SuperTuesday
FITN;IAPolitics
FAIL;Politician
NASCAR;Trump2016
NASCAR;VoteTrump
AlwaysTrump;Trump2016
AlwaysTrump;TrumpTrain
StopCommonCore;MakeAmericaGreatAgain
LoneStarState;SuperTuesday
LoneStarState;MakeAmericaGreatAgain
MakeAmericaGreatAgain;SuperTuesday
MakeYoutubeGreatAgain;Trump2016
WeAreBernie;WeWantTrump
WeAreBernie;makeamericagreatagain
WeAreBernie;trump
VoteTrumpNV;NevadaCaucus
NevadaCaucus;VoteTrumpNV
Trump2016;TrumpNV
trump2016;ICYMI
Hannity;Trump2016
BikersForTrump;VoteTrumpNV
VoteTrumpNV;Trump2016
ObamaCare;MAKEAMERICAGREATAGAIN
WeWantTrump;makeamericagreatagain
VoteTrumpSC;MakeAmericaGreatAgain
WeWantTrump;trump
makeamericagreatagain;trump
SCPrimary;VoteTrumpSC
SCPrimary;Trump2016
With_Cruz_you_lose;MakeAmericaGreatAgain
With_Cruz_you_lose;trump2016
Colbert;LSSC
TeamTrump;MaitnerStrong
VoteTrumpSC;Trump2016
Trump2016;VoteTrumpSC
Trump;Ford
Trump;Carrier
Trump;Jobs
Trump;Mexico
Ford;Carrier
Ford;Jobs
Ford;Mexico
Carrier;Jobs
Carrier;Mexico
Jobs;Mexico
SCPrimary;MakeAmericaGreatAgain
MakeAmericaGreatAgain;SCPrimary
IACaucus;FITN
VoteTrumpNH;MakeAmericaGreatAgain
FITN;IACaucus
LESM;Trump2016
FoxNews;MakeAmericaGreatAgain
FoxNews;Trump2016
NHPrimary;VoteTrumpNH
Trump2016;RNC
MaryBrigidMcManamon;CommonLaw
MaryBrigidMcManamon;NaturalBorn
GOPDebate;SuperBowlSunday
GOPDebate;SB50
SuperBowlSunday;SB50
MaryBrigidMcManamon;TedCruz
CommonLaw;NaturalBorn
CommonLaw;TedCruz
FITN;NHPrimary
Hannity;MAKEAMERICAGREATAGAIN
NewHampshire;FITN
NewHampshire;VoteTrumpNH
FITN;VoteTrumpNH
VoteTrumpNH;FITN
MakeAmericaGreatAgain;VotersSpeak
Rubio;Bush
NaturalBorn;TedCruz
MaryBrigidMcManamon;Cruz
CaucusForTrump;IACaucus
IACaucus;CaucusForTrump
TedCruz;LaurenceTribe
IACaucus;GOPDebate
GOPDebate;MakeAmericaGreatAgain
MakeAmericaGreatAgain;GOPDebate
MichaelMoore;FoxNews
MichaelMoore;ROGERAILES
FoxNews;ROGERAILES
DavidCameron;WH
MakeAmericaGreatAgain;FITN
FITN;MakeAmericaGreatAgain
MakeAmericaGreatAgain;IACaucus
IACaucus;MakeAmericaGreatAgain
FITN;NHPolitics
NHPolitics;Trump2016
Trump2016;NHPolitics
Trump2016;ECONOMY
MakeAmericaGreatAgain;ECONOMY
CBNNews;2016
VoteTrump;IowaCaucus
VoteTrump;IACaucus
VoteTrump;FITN
VoteTrump;IAPolitics
Trump2016;IACaucus
IACaucus;Trump2016
